"title","quality_overall","price","picture_image","laboratory","laboratory_logo","data_description","data_composition","data_mode_use"
"La Roche Posay Anthelios XL 50+SPF Gel Crema Toque Seco 50ml","97%","22,75 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/la_roche_posay_anthelios_xl_50_spf_gel_crema_toque_seco_50ml166073_.jpg","La Roche Posay","https://www.mifarma.es/media/amshopby/medium13.jpg","","ComposiciónAQUA / WATER, HOMOSALATE, ETHYLHEXYL SALICYLATE, SILICA, STYRENE/ACRYLATES COPOLYMER, ETHYLHEXYL TRIAZONE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, DROMETRIZOLE TRISILOXANE, BUTYL METHOXYDIBENZOYLMETHANE, ALUMINUM STARCH OCTENYLSUCCINATE, OCTOCRYLENE, C12-15 ALKYL BENZOATE, GLYCERIN, PENTYLENE GLYCOL, POTASSIUM CETYL PHOSPHATE, DIMETHICONE.","Modo de usoAplica el protector solar justo antes de la exposición al sol. Reaplica con frecuencia de forma generosa para mantener la protección, especialmente tras haber nadado, sudado o secado con toalla."
"Frezyderm Velvet Sun Screen Facial SPF50+ Color 50ml","95%","22,37 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/r/frezyderm_velvet_sun_screen_facial_spf50__color_50ml171267_.jpg","Frezyderm","https://www.mifarma.es/media/amshopby/medium550.jpg","","",""
"Frezyderm Velvet Sun Screen Facial SPF50+ 50ml","97%","20,57 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/r/frezyderm_velvet_sun_screen_facial_spf50__50ml167523_.jpg","Frezyderm","https://www.mifarma.es/media/amshopby/medium550.jpg","","",""
"Anthelios Shaka SPF50+ Fluido Facial Sin Perfume 50ml La Roche Posay","98%","25,60 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/n/anthelios_shaka_spf50__fluido_facial_sin_perfume_50ml_la_roche_posay192229_.jpg","La Roche Posay","https://www.mifarma.es/media/amshopby/medium13.jpg","","ComposiciónAQUA / WATER, DIISOPROPYL SEBACATE, ALCOHOL DENAT, GLYCERIN, DIMETHICONE, ISOHEXADECANE, BUTYL METHOXYDIBENZOYLMETHANE, OCTOCRYLENE, SILICA, DROMETRIZOLE TRISILOXANE, ISONONYL ISONONANOATE, ZEA MAYS STARCH / CORN STARCH, C12-15 ALKYL BENZOATE, STYRENE/ACRYLATES COPOLYMER, ETHYLHEXYL TRIAZONE, PEG-30 DIPOLYHYDROXYSTEARATE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, ISODODECANE, PHENOXYETHANOL, ISOPROPYL LAUROYL SARCOSINATE, TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID, SILICA SILYLATE, LAURYL PEG/PPG-18/18 METHICONE, PEG-8 LAURATE, CAPRYLYL GLYCOL, TRIETHANOLAMINE, DISTEARDIMONIUM HECTORITE, TOCOPHEROL, DISODIUM EDTA, DODECENE, PROPYLENE CARBONATE, POLOXAMER 407, ZINC GLUCONATE, PERLITE.","Modo de usoAplicar 30 minutos antes de la exposición solar. Volver a aplicar cada 2 horas y después de cada baño."
"Isdin Fusion Water SPF50+ Protector Solar 50ml","99%","21,95 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/i/s/isdin_fusion_water_spf50__protector_solar_50ml174857_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","","Modo de usoAplicar una dosis generosa media hora antes de exposición solar.
Reaplicar cada dos horas."
"Heliocare Gel Ultra Spf 90 50ml","96%","26,05 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_gel_ultra_spf_90_50ml393587._.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónAqua. Ethylhexyl methoxycinnamate. Octocrylene. PEG/PPG-20/6 dimethicone. Cyclopentasiloxane. Glycerin. Hexylene glycol. Ethylhexyl triazone. Butyl methoxydibenzoylmethane. Zinc oxide (nano). Polyacrylamide. Styrene/Acrylates copolymer. Phenoxyethanol. Polypodium leucotomos leaf extract. Diethylamino hydroxybenzoyl hexyl benzoate. C13-14 isoparaffin. Titanium dioxide (nano). Camelia sinensis extract. Cetyl dimethicone. Laureth-7. Tocopheryl acetate. Dichlorobenzyl alcohol. Plankton extract. Parfum. Alumina. Phytosphingosine HCl. BHT. Simethicone. Lecithin. Linalool. Triethoxycaprylylsilane. Lactic acid. Limonene.","Modo de usoAgitar antes de usar. Aplicar de forma generosa y uniforme antes de la exposición solar. Reaplicar frecuentemente, especialmente tras baños prolongados o sudoración excesiva."
"Heliocare 360º Gel Oil Free SPF50 50ml","94%","29,50 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_360___gel_oil_free_spf50_50ml172413_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónAqua. C12-15 alkyl benzoate. Arginine. Phenylbenzimidazole sulfonic acid. Disodium phenyl dibenzimidazole tetrasulfonate. Bis-ethylhexyloxyphenol methoxyphenyl triazine. Titanium dioxide (nano). Hexylene glycol. C14-22 alcohols. C12-20 alkyl glucoside. Diethylamino hydroxybenzoyl hexyl benzoate. Nylon-12. Myristyl alcohol. Dipropylene glycol dibenzoate. Diethylhexyl butamido triazone. Phenoxyethanol. Polypodium leucotomos leaf extract. Ethylhexyl ferulate. Ferulic acid. Caffeic acid. Physalis angulata extract. Ceteareth-25. Caprylyl glycol. Melanin. Myristyl glucoside. Ethylhexyl triazone. Caprylyl methicone. Hydrolyzed wheat protein/PVP crosspolymer. Glycerin. Ethyl ascorbic acid. Alumina. PPG-15 stearyl ether benzoate. Disodium ethylene dicocamide PEG-15 disulfate. Camelia sinensis extract. Ethylhexylglycerin. Tocopheryl acetate. Xanthan gum. Phytosphingosine HCl. Arabidopsis thaliana extract. Ethyl lauroyl arginate HCl. Panthenyl triacetate. Parfum. Simethicone. Oxothiazolidine. Disodium EDTA. Silica. Ethyl linoleate. Caprylic/Capric triglyceride. Oleyl alcohol. Butylene glycol. Lecithin. Sodium benzoate. Tocopherol. Linalool. Limonene.","Modo de usoAplicar de forma abundante minutos antes de comenzar la exposición solar prolongada. Reaplicar las veces que sean necesarias."
"Isdin Fusion Water Color SPF50 Protector Solar 50ml","93%","21,95 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/i/s/isdin_fusion_water_color_spf50_protector_solar_50ml187819_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","ComposiciónCitric AcidCitric Acid, Aqua (Water), Ethylhexyl Methoxycinnamate, Butylene Glycol, Propylene Glycol, Polymethyl Methacrylate, Dimethicone, PEG-8, Butyl Methoxydibenzoylmethane, Ethylhexyl Triazone, Silica, Phenoxyethanol, Titanium Dioxide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tocopheryl Acetate, Allantoin, Ethylhexylglycerin, Parfum (Fragrance), Sodium Hyaluronate, Sodium Hydroxide, Carbomer, Disodium EDTA, Tocopherol, BHT, Ascorbyl Palmitate, Ascorbic Acid, Citric Acid.","Modo de usoAplicar generosamente sobre la piel, media hora antes de la exposición solar. Aplicar 2mg/cm² de producto; al reducir esta dosis, se reduce el factor de protección. Reaplicar cada 2 horas o bien tras transpirar, nadar o secarse con toalla."
"FotoUltra 100 ISDIN Spot Prevent Fusión Fluid Solar SPF50+ 50 ml","96%","23,55 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/o/fotoultra_100_isdin_spot_prevent_fusi__n_fluid_solar_spf50__50_ml163168_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","ComposiciónAqua (Water), Dibutyl Adipate, Cyclopentasiloxane, Octocrylene, Alcohol Denat., Titanium Dioxide [nano], Butyl Methoxydibenzoylmethane, Cyclohexasiloxane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Butylene Glycol, PEG-30 Dipolyhydroxystearate, Nylon-12, PEG-10 Dimethicone, Sodium Chloride, Phenoxyethanol, Silica, Dimethicone, Disteardimonium Hectorite, Panthenol, Tocopheryl Acetate, Allantoin, Glyceryl Stearate, Parfum (Fragrance), Disodium EDTA, Ethylhexylglycerin, Sodium Hyaluronate, Dimethiconol, PEG-8, Tocopherol, Ascorbyl Palmitate, Ascorbic Acid, Citric Acid.","Modo de usoAplicar el fotoprotector sobre la piel seca, media hora antes de la exposición al sol. Reaplicar cada 2 horas, y tan frecuentemente como sea necesario."
"EUCERIN Facial Gel-Crema Oil Control Dry Touch FPS50+ 50ml","94%","22,87 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/e/u/eucerin_facial_gel-crema_oil_control_dry_touch_fps50__50ml174034_.jpg","Eucerin","https://www.mifarma.es/media/amshopby/medium60.jpg","","ComposiciónContiene Licocalcón A, un agente activo que penetra hasta las capas más profundas de la piel donde aumenta la capacidad inmune de los queratinocitos. Este ingrediente cuida y protege la piel desde el interior. También contiene Tinosorb S y un sistema de filtros solares de alta eficacia clínicamente demostrada (FP50+). Con L-Carnitina y pigmentos que absorben las grasas de las pieles acnéicas y grasas. Sin perfumes.","Modo de usoAplicar generosamente antes de la exposición solar.
Posteriormente re-aplicar regularmente con especial atención después del baño y el ejercicio físico además de sobre la piel seca."
"Isdin Fotoultra Activa Unify 100 Ff Color (SPF50+) 50ml","94%","24,55 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/i/s/isdin_fotoultra_activa_unify_100_ff_color__spf50___50ml167422_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","",""
"Heliocare SPF 50 Gel 200 ml ","96%","25,65 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_spf_50_gel_200_ml_159245_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónAqua. Ethylhexyl methoxycinnamate. Octocrylene. Styrene/Acrylates copolymer. Cyclopentasiloxane. Glycerin. Hexylene glycol. Polyacrylamide. PEG/PPG-20/6 dimethicone. Zinc oxide (nano). C13-14 isoparaffin. Polypodium leucotomos leaf extract. Phenoxyethanol. Titanium dioxide (nano). Laureth-7. Cetyl dimethicone. Camelia sinensis extract. Tocopheryl acetate. Dichlorobenzyl alcohol. Micrococcus lysate. Tetrasodium EDTA. Alumina. BHT. Simethicone. Triethoxycaprylylsilane. Parfum. Linalool. Limonene.","Modo de usoAplicar sobre la piel 30 minutos antes de la exposición solar y reaplicar cada 2 horas y después del baño."
