"title","provider_value","actually_discount","link","rate_value","image_one","description","data_professional_advice","coupon_info","volume","tags","content_description","content_instructions","content_composition","provider"
"Bella Aurora Protector Solar Spf50+","18,79 €","-23%","https://www.promofarma.com/es/bella-aurora-protector-solar-spf50-plus/p-94309","10","https://www-assets.promofarma.com/dist/images/not-found.png","","Consejo Farmacéutico","
                            Bella Aurora Protector Solar Spf50+
                        ","","
#bella aurora
","","","","promofarma"
"Corpore Beauty Protector Solar Sun&siluet","21,95 €","-23%","https://www.promofarma.com/es/corpore-beauty-protector-solar-sun-siluet/p-89931","","https://image.promofarma.com/c/2510769/p/89931_1-m/corpore-beauty-protector-solar-sun-siluet.jpg","Este Protector Solar de Corpore Beauty no es un fotoprotector común, este ofrece una alta protección contra los rayos UVA y UVB, y además es un fantástico anticelulítico de tacto seco y transparente. Su formulación está compuesta por activos de última generación que son resistentes al agua y se pueden aplicar en la piel mojada. 
Las propiedades del Protector Solar de Corpore Beauty:

Contribuye a la reducción anticelulítica de zonas del cuerpo sensibles a la flacidez como; abdomen, brazos y muslos. 
Contiene un eficaz antioxidante para proteger las células del daño de ADN irreversible y de los radicales libres. 
Previene el envejecimiento de la piel. 

¡SUN & SILUET SPF30 es el mejor aliado para ayudarnos a reducir el volumen corporal a la vez que nos bronceamos!
Protección Solar Alta: Cumple con la premisa de cumplir el tercio de protección UVA con respecto a la radiación UVB.","Consejo Farmacéutico","
                            Protección solar anticelulítico para cuidar y moldear tu cuerpo.
                        ","","
#corpore basic's
","","","","promofarma"
"Liposan protector labial solar 1ud","8,95 €","without discount","https://www.promofarma.com/liposan-protector-labial-solar-1ud","","https://image.promofarma.com/product/22005/sd/2510769/large/coupon_image_1.jpg","El protector labial solar de Liposan es un stick con factor de protección solar SPF30+. Adecuado para combatir los efectos dañinos de los rayos UVB/UVA, tanto en tu jornada de playa como tus excursiones al aire libre. ¡Elaborado con girasol y vitamina E!
Beneficios:

Protección solar (evita las quemaduras y grietas).
Hidratación intensiva.

*No deja ningún residuo blanco y resistente al agua.
¡Protección total de tus labios!","Consejo Farmacéutico","
                            Protección solar con factor solar alto
                        ","1ud","
#liposan
","","","","promofarma"
"Mesoestetic Dermatological Protector Solar Spf50+","46,50 €","-22%","https://www.promofarma.com/es/mesoestetic-dermatological-protector-solar-spf50-plus/p-111328","","https://image.promofarma.com/c/2510769/p/111328_1-m/mesoestetic-dermatological-protector-solar-spf50-plus.jpg","","Consejo Farmacéutico","
                            Mesoestetic Dermatological Protector Solar Spf50+
                        ","","
#mesoestetic
","","","","promofarma"
"Akileïne Sun crema protectora solar 50ml","17,85 €","without discount","https://www.promofarma.com/es/akileine-sun-crema-protectora-solar-50ml/p-52536","","https://image.promofarma.com/product/52536/sd/2510769/large/coupon_image_1.jpg","¿Buscas una crema solar? Una buena opción es la crema solar Akileïne Sun, perfecta para cualquier tipo de piel. ¡Te protegerás del sol de la mejor forma posible!
La crema protectora solar Akileïne Sun es un protector solar resistente al agua y de protección alta. Ideal para aquellos deportistas que se exponen al sol de manera prolongada.
Cuida tu piel frente a las radiaciones solares!","Consejo Farmacéutico","
                            Protector solar resistente al agua y de protección alta
                        ","50ml","
#akileïne
","","","","promofarma"
"Algamaris - Protector solar SPF30 certificado Orgánico","18,90 €","without discount","https://www.promofarma.com/es/algamaris-protector-solar-spf30-certificado-organico/p-196306","","https://image.promofarma.com/product/196306/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
","","
#algamaris
","","","","promofarma"
"Protector solar Dhyvana Eco Suncare® SPF30","18,50 €","-12%","https://www.promofarma.com/es/protector-solar-dhyvana-eco-suncare-spf30/p-73485","","https://image.promofarma.com/c/2510769/p/73485_1-m/protector-solar-dhyvana-eco-suncare-spf30.jpg","El Protector solar Eco Suncare® SPF30 de Dhyvana es un filtro solar físico que proporciona una fotoprotección de amplio espectro frente a las radiaciones UVA y UVB para todo tipo de fototipos. Además, también protege de eritemas, oxidación y envejecimiento cutáneo causado por la exposición solar. Su composición natural, 100% mineral y sin nanopartículas, es respetuosa con el medio ambiente y puede utilizarse en ecosistemas acuáticos protegidos.
El Aceite Ecológico de Frambuesa aporta vitamina A antioxidante, que protege de la formación de radicales libres y previene el envejecimiento cutáneo. 
 
Propiedades del Protector solar Eco Suncare® SPF30 de Dhyvana:

Filtro 100% mineral, potenciado con aceite ecológico de frambuesa
Fotoprotección de amplio espectro
Alta tolerancia cutánea
Apto para todo tipo de pieles





 
*Fabricado de forma sostenible en España.
*Testado bajo control dermatológico
*Producto libre de parabenos, siliconas, parafinas y otros derivados del petróleo.
**No contienen aditivos ni perfumes o colorantes artificiales.
***Para garantizarte su calidad, sostenibilidad y  origen natural, este producto ha sido certificado con el estándar internacional BDIH COSMOS.","Consejo Farmacéutico","
                            Protector solar 100% mineral que ayuda a prevenir el fotoenvejecimiento ¡Apto para todo tipo de pieles!
                        ","","
#dhyvana
","","","","promofarma"
"Revlon Acondicionador Desenredante Protector Solar Equave 200ml","9,49 €","without discount","https://www.promofarma.com/es/revlon-acondicionador-desenredante-protector-solar-equave-200ml/p-162532","","https://image.promofarma.com/product/162532/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            Revlon Acondicionador Desenredante Protector Solar Equave 200ml
                        ","","
#revlon
","","","","promofarma"
"Protector solar Dhyvana Eco Pediatrics® SPF50+","24,50 €","-15%","https://www.promofarma.com/es/protector-solar-dhyvana-eco-pediatrics-spf50-plus/p-93688","","https://image.promofarma.com/c/2510769/p/93688_1-m/protector-solar-dhyvana-eco-pediatrics-spf50-plus.jpg","Protector Solar Spf50+ Eco Pediatrics® de Dhyvana es un filtro solar físico para bebés y niños con pantalla 100% mineral, indicado para todos los fototipos de piel. Esta crema solar proporciona una fotoprotección de amplio espectro frente a las radiaciones UVA y UVB desde los 0 meses de edad, evitando irritaciones cutáneas causadas por el sol. 
Gracias a sus ingredientes naturales, como la caléndula y el aceite de almendras, además de proteger durante la exposición solar, este protector solar infantil, hidrata profundamente la piel del pequeño dejándola suave y nutrida, y es apta para pieles sensibles y atópicas.
 
Propiedades de Protector Solar Spf50+ Eco Pediatrics® de Dhyvana:
 

Pantalla 100% mineral
Protección de amplio espectro frente a rayos UVA y UVB
Para bebés y niños desde 0 años
Ingredientes naturales como caléndula y aceite de almendras
Apto para pieles sensibles y atópicas

 
¡Protege la piel de tu bebé con Eco Pediatrics® Protector Solar Spf50+ de Dhyvana!
 
*Fabricado de forma sostenible en España.
*Testado bajo control dermatológico
*Producto libre de parabenos, siliconas, parafinas y otros derivados del petróleo.
**No contienen aditivos ni perfumes o colorantes artificiales.
***Para garantizarte su calidad, sostenibilidad y  origen natural, este producto ha sido certificado con el estándar internacional BDIH COSMOS.","Consejo Farmacéutico","
                            Protector solar 100% mineral para para proteger la piel de bebés y niños ¡Desde 0 meses!
                        ","","
#dhyvana
","","","","promofarma"
"Protector Solar Dhyvana Eco Suncare® SPF50","21,49 €","-11%","https://www.promofarma.com/es/protector-solar-dhyvana-eco-suncare-spf50/p-93684","","https://image.promofarma.com/c/2510769/p/93684_1-m/protector-solar-dhyvana-eco-suncare-spf50.jpg","Eco Suncare® Protector Solar Spf50 de Dhyvana es un filtro solar físico que proporciona una fotoprotección de amplio espectro frente a las radiaciones UVA y UVB para todos los fototipos. Gracias a su alto factor de protección, ayuda eficazmente a prevenir quemaduras causadas por el sol, así como la oxidación y el envejecimiento cutáneo. Su composición natural, 100% mineral y sin nanopartículas, es respetuosa con el medio ambiente y puede utilizarse en ecosistemas acuáticos protegidos.
Gracias a su composición, a base de extractos naturales de salvia, romero y tomillo, Eco Suncare® Protector Solar Spf50 de Dhyvana absorbe los rayos UV potenciando la fotoprotección mineral. Ofrece una alta tolerancia cutánea y es apta para todo tipo de pieles, incluso las más sensibles.
Propiedades de Eco Suncare® Protector Solar Spf50 de Dhyvana:

Fotoprotección muy alta
Pantalla 100% mineral
Potenciado con ingredientes naturales como salvia, romero y tomillo
Apto para todo tipo de pieles

¡Protege tu piel con el filtro solar natural Eco Suncare® Protector Solar Spf50 de Dhyvana!
 
 

*Fabricado de forma sostenible en España.
*Testado bajo control dermatológico.
*Producto libre de parabenos, siliconas, parafinas y otros derivados del petróleo.
**No contienen aditivos ni perfumes o colorantes artificiales.
***Para garantizarte su calidad, sostenibilidad y  origen natural, este producto ha sido certificado con el estándar internacional BDIH COSMOS.","Consejo Farmacéutico","
                            Protector solar natural de amplio espectro para proteger las pieles más sensibles
                        ","","
#dhyvana
","","","","promofarma"
"Himalaya Herbals bálsamo labial protector solar 5g","2,00 €","-27%","https://www.promofarma.com/himalaya-herbals-balsamo-labial-protector-solar-5g","","https://image.promofarma.com/product/44654/sd/2510769/large/coupon_image_1.jpg","Himalaya trabaja desde 1930 con productos 100% vegetales y eficaces para el bienestar y la salud de sus clientes.
El bálsamo labial protector de Himalaya Herbals nutre intensamente los labios y los protege contra los rayos UVB/UVA. Además, previene la sequedad y las grietas de los labios.
*Se recomienda en el tratamiento y la prevención de los labios secos, agrietados o lesionados debido a la deshidratación. Libre de parabenos y de conservantes derivados del petróleo.
Fórmula 100% de origen natural.
Tu cuidado diario de confianza.","Consejo Farmacéutico","
                            Nutre y protege contra los rayos UVB/UVA
                        ","5g","
#himalaya herbals
","","","","promofarma"
"Acorelle Spray Protector Solar SPF50+ 100ml","24,94 €","-25%","https://www.promofarma.com/acorelle-spray-protector-solar-spf50-100ml","","https://image.promofarma.com/product/31021/sd/2510769/large/coupon_image_1.jpg","Durante el verano, las exposiciones solares son más dañinas para nuestra piel. Es por ello que necesitamos proteger nuestra dermis con un protector solar de alta protección que nos ayude a prevenir posibles daños en la piel como quemaduras y rojeces. 
El Spray Protector Solar SPF50+ de Acorelle  proporciona una alta protección libre de filtros químicos, zinc y nanopartículas. En su fórmula incluye ingredientes activos 100% naturales que proporcionan un efecto antioxidante que protege las células de la piel y previene el efecto de la edad. Además, también incorpora en su composición dióxido de titanio que protege la dermis de los rayos UV. Este spray está indicado especialmente para pieles sensibles. 
¡Protección solar 100% natural!","Consejo Farmacéutico","
                            Alta protección para la cara y el cuerpo
                        ","100ml","
#acorelle
","","","","promofarma"
"Acorelle spray protector solar SPF30+ 100ml","23,58 €","-24%","https://www.promofarma.com/acorelle-spray-protector-solar-spf30-100ml","10","https://image.promofarma.com/product/31022/sd/2510769/large/coupon_image_1.jpg","Con la llegada del verano, los rayos solares inciden con mayor fuerza sobre nuestra piel. Con la finalidad de evitar posibles daños en ésta, como quemaduras y rojeces, es necesario elegir un protector solar que protega nuestra piel.
El Spray Protector Solar SPF30+ de Acorelle  proporciona una alta protección libre de filtros químicos, zinc y nanopartículas. En su fórmula incluye ingredientes activos 100% naturales que proporcionan un efecto antioxidante que protege las células de la piel y previene el efecto de la edad. También incorpora en su composición dióxido de titanio que protege la dermis de los rayos UV. 
Este spray protector incorpora una fragancia con aroma de almendras y flores de fangipani con notas de vainilla. 
¡Protección solar 100% natural con fragancia de almendra!","Consejo Farmacéutico","
                            Alta protección para la cara y el cuerpo
                        ","100ml","
#acorelle
","","","","promofarma"
"Apivita Suncare Aceite Corporal Protector Solar Bronceado & Prot","14,82 €","-23%","https://www.promofarma.com/es/apivita-suncare-aceite-corporal-protector-solar-bronceado-prot/p-90466","","https://image.promofarma.com/c/2510769/p/90466_1-m/apivita-suncare-aceite-corporal-protector-solar-bronceado-prot.jpg","","Consejo Farmacéutico","
                            Apivita Suncare Aceite Corporal Protector Solar Bronceado & Prot
                        ","","
#apivita
","","","","promofarma"
"Apivita Suncare Aceite Capilar Protector Solar Protección &hidr","12,30 €","-39%","https://www.promofarma.com/es/apivita-suncare-aceite-capilar-protector-solar-proteccion-hidr/p-90465","","https://www-assets.promofarma.com/dist/images/not-found.png","Laboratorio: Apivita
Marca: Apivita
Descripción: Apivita Suncare Aceite Capilar Protector Solar Protección &hidr
Formato: 
CN: 
EAN: 5201279054397","Consejo Farmacéutico","
                            Apivita Suncare Aceite Capilar Protector Solar Protección &hidr
                        ","","
#apivita
","","","","promofarma"
"A-Derma Protect Protector Solar SPF50+ 250ml","15,38 €","-25%","https://www.promofarma.com/es/a-derma-protect-protector-solar-spf50-plus-250ml/p-115701","10","https://image.promofarma.com/product/115701/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            A-Derma Protect Protector Solar SPF50+ 250ml
                        ","","
#a-derma
","","","","promofarma"
"Sunlikesunlike Protector Solar Locion Spf 50 Zanahoria Panthenol","18,95 €","without discount","https://www.promofarma.com/es/sunlikesunlike-protector-solar-locion-spf-50-zanahoria-panthenol/p-69172","","https://image.promofarma.com/product/69172/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            Sunlikesunlike Protector Solar Locion Spf 50 Zanahoria Panthenol
                        ","","
#sunlike
","","","","promofarma"
"Protector Solar Facial Fp 30 Cite 50ml","18,43 €","without discount","https://www.promofarma.com/es/protector-solar-facial-fp-30-cite-50ml/p-121200","","https://www-assets.promofarma.com/dist/images/not-found.png","","Consejo Farmacéutico","
                            Protector Solar Facial Fp 30 Cite 50ml
                        ","","
#cité 
","","","","promofarma"
"Farline Leche Solar Protectora SPF15+ 200ml","9,90 €","-20%","https://www.promofarma.com/es/farline-leche-solar-protectora-spf15-200ml/p-30385","","https://image.promofarma.com/product/30385/sd/2510769/large/coupon_image_1.jpg","A todos nos gusta exponernos al sol y ponernos morenos. Sin emargo, no todos tenemos claro qué hacer y cómo cuidar la piel ante largas exposiciones al sol. La piel tiene memoria y no apreciamos los efectos nocivos que el sol provoca en nuestras pieles. 
Farline Leche Solar Protectora SPF15+ es un protector solar para combatir los efectos nocivos de los rayos UVA y UVB durante la exposición solar, para todo tipo de pieles.
Enriquecido con vitamina e y panthenol repara la piel con agentes antioxidantes, regenerantes y nutritivos.
*Resistente al agua.
Acaba con los efectos nocivos de la exposición solar prolongada.","Consejo Farmacéutico","
                            Protector solar indicado para todo tipo de pieles
                        ","200ml","
#farline
","","","","promofarma"
"Farline Leche Solar Protectora SPF40+ 200ml","22,23 €","-22%","https://www.promofarma.com/farline-leche-solar-protectora-spf40-200ml","8.9","https://image.promofarma.com/product/30386/sd/2510769/large/coupon_image_1.jpg","A todos nos gusta exponernos al sol y ponernos morenos. Sin emargo, no todos tenemos claro qué hacer y cómo cuidar la piel ante largas exposiciones al sol. La piel tiene memoria y no apreciamos los efectos nocivos que el sol provoca en nuestras pieles. 
Farline Leche Solar Protectora SPF40+ es un protector solar muy elevado para combatir los efectos nocivos de los rayos UVA y UVB durante la exposición solar, para todo tipo de pieles.
Enriquecido con vitamina e y panthenol repara la piel con agentes antioxidantes, regenerantes y nutritivos.
*Resistente al agua.
Acaba con los efectos nocivos de la exposición solar prolongada.","Consejo Farmacéutico","
                            Protector solar indicado para todo tipo de pieles
                        ","200ml","
#farline
","","","","promofarma"
"ChapStick protector labial solar SPF35+ 1ud","4,00 €","-23%","https://www.promofarma.com/chapstick-protector-labial-solar-spf15-1ud","","https://image.promofarma.com/product/49032/sd/2510769/large/coupon_image_1.jpg","Aunque no lo parezca, los labios también se ven afectados por una exposición solar prolongada. Los rayos UVB/UVA interfieren negativamente en su equilibrio y en su estabilidad orgánica, secándolo, debilitándolos y enrojeciéndolos. Por ello deben protegerse.
ChapStick es un protector labial solar SPF35+, enriquecido con aceite de oliva virgen, resistente al agua y que no deja sensación grasa. Con él, tus labios quedarán más hidratados y protegidos frente al sol, el aire y las condiciones extremas.
Por ello es adecuado para las jornadas de baño y de nieve, tanto en playa, como en piscina y pistas de esquí. Todo ello completado con un factor de protección solar 35+, muy delicado pero eficaz frente a los rayos UVB/UVA.
¡Protege tus labios de los agentes externos!","Consejo Farmacéutico","
                            Lápiz labial indicado para la exposición solar prolongada
                        ","1ud","
#chapstick
","","","","promofarma"
"Avène Solar leche+Reflexe solaire+ protector labial + Obsequio","29,95 €","-20%","https://www.promofarma.com/es/avene-solar-leche-plus-reflexe-solaire-plus-protector-labial-plus-obsequio-en-farmacia-m-carmen-angulo-rosa/p-71203","","https://image.promofarma.com/product/71203/sd/2510769/large/coupon_image_1.jpg","Este pack lo componen los siguientes productos:

Avène Solar leche SPF50+ 100 ml: protector solar muy eficaz en su protección cutánea, y además altamente recomendable para pieles frágiles o sensibles, ya que no contiene filtros químicos ni perfumes o sustancias alcohólicas. 

 

Avène Reflexe Solaire SPF 50+ 30ml: tiene una sustancia llamada SunSitive Protection, que junto a otros fotoestables y protectores celulares, como el Pre-tocoferil, garantiza la máxima seguridad y estabilidad en la piel. Su textura trasparente y su rápida absorción constituyen los principales beneficios de la crema Reflexe Solaire de Avène. Añade a su fórmula un toque final seco muy especial, garantizado precisamente por su carácter oil free. Además, este envase presenta una forma muy práctica y ergonómica, dando lugar a un envase plano que puede guardarse en casi cualquier sitio.

 

Acofarderm protector labial SPF15+ 4g: tratamiento que se ha diseñado específicamente para proteger la delicada piel del labio frente a las agresiones externas como viento, frío o sol. Combate de manera eficaz la acción de estos agentes externos tan dañinos para los labios. Su uso regular te permitirá conseguir unos labios más hidratados, suaves y elásticos mientras los proteges. Posee un delicioso aroma a vainilla. Repara de manera eficaz y duradera los labios secos y agrietados.

 

Obsequio: Kit dental de viaje Acofardent que contiene un dentrífico anticaries de 25ml y un cepillo dental de viaje-medio. Incluye práctica bolsita transparente con cremallera.","Consejo Farmacéutico","
                            Pack de protección solar y labial con obsequio
                        ","","
#avene
","","","","promofarma"
"Farline Leche Protectora Solar Spf50+ 150ml","10,50 €","-25%","https://www.promofarma.com/es/farline-leche-protectora-solar-spf50-plus-150ml/p-75185","","https://www-assets.promofarma.com/dist/images/not-found.png","","Consejo Farmacéutico","
                            Farline Leche Protectora Solar Spf50+ 150ml
                        ","","
#farline
","","","","promofarma"
